filename,company,summary,impact_duration,impact_type,investment_advice
SSM awarded further nbn fibre upgrade works in the ACT 2 pages 152.0KB.pdf,Service Stream Limited,"Service Stream Limited has secured an amendment to its agreement with NBN Co to provide design and construction services for the upgrade of the remaining Fibre to the Node (FTTN) footprint to Fibre to the Premises (FTTP) technology in the ACT, expected to generate approximately $360 million in revenue over about 3.5 years.",长期,利好,建议投资者考虑增持或购买Service Stream Limited的股票，鉴于该项目预计带来的可观收入和公司与NBN的良好合作关系。
Strategic A$2.0 Million Placement to Accelerate ECS-DoT Chip 3 pages 227.9KB.pdf,Nanoveu Limited,"Nanoveu Limited announced a strategic placement that raised A$2.0 million to fund the development and commercialisation of its ECS-DoT chip technology, support live drone trials, and advance EMASS’s modular AIoT platform. The placement received strong demand from sophisticated investors, allowing the company to progress with its 16nm SoC synthesis and broader market rollout.",长期,利好,考虑增持，因公司资金到位有利于加速技术商用和市场扩展，预计将带动长期股价上涨。
Trading Halt 2 pages 237.6KB.pdf,Macro Metals Limited,Macro Metals Limited has requested a trading halt of its securities pending the release of an announcement related to a court application due to an unintentional failure to lodge a cleansing notice within the required period after issuing shares.,短期,中性,投资者应保持关注，等待公司公告的进一步信息，评估对投资的潜在影响，并在确认后再做出投资决策。
Trading Halt 2 pages 257.8KB.pdf,DY6 Metals Ltd,DY6 Metals Ltd has requested a trading halt pending the release of an announcement regarding a material capital raising. The halt will last until the earlier of normal trading resumption on 15 July 2025 or the announcement release.,短期,中性,建议在未获具体信息前保持观望，待公告发布后再评估投资机会。
Trading Halt 3 pages 311.2KB.pdf,X2M Connect Limited,X2M Connect Limited has requested a trading halt for its securities pending the release of an announcement concerning a capital raising. The trading halt will last until the earlier of the announcement release or 15 July 2025.,short-term,neutral,Monitor the announcement closely and assess the terms of the capital raising before making any investment decisions.
"Update on Funding for Nueva Sabana Copper-Gold Mine, Cuba 4 pages 303.9KB.pdf",Antilles Gold Limited,"Antilles Gold Limited has signed a non-binding Letter of Intent with Shandong Xinhai Mining Technology Equipment Inc for a US$26M engineering, procurement, and construction contract for its Nueva Sabana copper-gold mine in Cuba. Additionally, Xinhai intends to arrange US$16M of project financing. Antilles Gold plans a US$4.1M share issue to Xinhai, subject to a forthcoming Memorandum of Understanding.",长期,利好,考虑对Antilles Gold进行投资，因为其项目融资和工程合同的签署为公司的长期发展提供了支持，并可能提升其股东价值。
Ventia awarded additional fibre upgrade works with NBN Co 2 pages 233.3KB.pdf,Ventia Services Group Ltd,"Ventia has secured a contract amendment with NBN Co to upgrade the remaining Fibre to the Node network in Australia, expected to generate approximately $280 million in revenue over the next 3.5 years, with a potential 2-year extension.",长期,利好,考虑增持Ventia的股份，预计公司将通过新合同实现稳定的收入增长。
FirstWave Secures Microsoft Contract Renewal and Uplift 2 pages 165.0KB.pdf,FirstWave Cloud Technology Limited,"FirstWave Cloud Technology Limited secured a 12-month contract renewal and expansion with Microsoft Corporation worth approximately AUD $770k, representing an 18% uplift from the previous contract. The agreement showcases confidence in FirstWave's products and includes notable sales agreements of AUD $1.8m in the last three weeks, highlighting further growth potential.",长期,利好,建议投资者考虑增持FirstWave Cloud Technology Limited的股份，基于其与Microsoft扩展合作的积极前景及销售增长的潜力。
HITIQ Enters UK Consumer Market with PROTEQT Launch 3 pages 158.3KB.pdf,HITIQ Limited,"HITIQ Limited announces its entry into the UK consumer market with the launch of the PROTEQT concussion management system on August 4, 2025, featuring integration with NHS 111 for free assessments and guidance, supported by strategic appointment of Chris Lord as UK Brand Liaison.",长期,利好,建议投资HITIQ Limited，关注其在UK市场的成长潜力和长期收益，尤其是与NHS的整合带来的竞争优势。
Proposed Capital Consolidation 2 pages 205.0KB.pdf,Environmental Clean Technologies Limited,"Environmental Clean Technologies Limited plans to undertake a capital consolidation at a 15 to 1 basis, subject to shareholder approval. This consolidation aims to reduce the number of shares, create a more efficient capital structure, and align with peer companies to attract a broader range of investors.",短期,中性,继续观察股东投票结果及潜在市场反应，资本结构优化可能对公司未来发展有积极影响，但在确定性未明确之前，保持观望态度。
Quarterly Activities_Appendix 5B Cash Flow Report 15 pages 1.3MB.pdf,Castile Resources Limited,"Castile Resources Limited has updated its Bankable Feasibility Study for the Rover 1 Project by adding a Mineral Resources Estimate of 5,900 tonnes of critical mineral bismuth as a by-product. This comes in light of China's export bans on bismuth, which have surged prices significantly in global markets. The company is also conducting environmental studies and has reported successful exploration results using new Ambient Noise Tomography technology, identifying multiple IOCG targets.",长期,利好,考虑到Castile在关键矿产方面的新资源估算以及供应短缺导致的价格上涨，建议投资者考虑增持Castile Resources的股票，因其未来潜在价值和市场需求强劲。
Reinstatement to Quotation 1 page 108.5KB.pdf,Almonty Industries Inc,The suspension of trading for Almonty Industries Inc (AII) will be lifted following the release of an updated Technical Report on the Mineral Resources and Reserves of the Sangdong Project in South Korea.,短期,利好,考虑增持，特别关注该项目的技术报告内容及其对公司未来收益的潜在 positive 影响。
Share Purchase Plan 2 pages 884.3KB.pdf,RBR Group Limited,"RBR Group Limited has announced the launch of a Share Purchase Plan (SPP) to raise up to $650,000, allowing eligible shareholders to purchase shares at an issue price of $0.001 per share. Proceeds will be used for a joint venture, repayment of convertible notes, offering costs, and general working capital.",short-term,中性,投资者应关注SPP的参与机会，但需评估公司的财务状况和市场环境，谨慎决策。
Trading Halt 2 pages 390.2KB.pdf,Chariot Corporation Ltd,Chariot Corporation Ltd has requested a trading halt on its securities pending the release of an announcement regarding a proposed capital raising.,短期,中性,观察后续公告内容，评估资本筹集的具体细节及其对公司未来发展和财务状况的潜在影响，再做出投资决策。
Completion of Entitlement Offer 2 pages 169.6KB.pdf,TALi Digital Limited,"TALi Digital Limited announced the completion of a non-renounceable pro-rata entitlement offer, raising $131,388.38 by issuing 131,388,380 new shares at $0.001 each, with a shortfall of 546,137,557 shares. The offer was not underwritten, and any unallocated shares may be issued within three months.",短期,中性,建议观察后续股价走势并关注潜在的后续股份发行，保持谨慎。
FY25 PRODUCTION UPDATE 4 pages 541.2KB.pdf,Aeris Resources Limited,"Aeris Resources Limited announced its production results for FY25, reporting a copper equivalent production of 42.1kt, which is within guidance. However, copper production of 24.9kt was below guidance, while gold production was at the midpoint of guidance. Cracow achieved strong gold output, and Tritton experienced significant improvements in milling rates, but faced production delays. Closing cash and receivables increased to $49.5 million.",短期,中性,考虑持有现有股份，关注未来生产改善的潜力。
MITHRIL ARRANGES UP TO C$11.5M PLACEMENT 6 pages 223.2KB.pdf,Mithril Silver and Gold Limited,"Mithril Silver and Gold Limited has arranged a private placement to raise up to C$11.5 million to accelerate exploration at its Copalquin project in Mexico. The placement includes the issuance of up to 31,944,700 common shares at C$0.36 per share, with significant demand from institutional investors. The proceeds will be utilized for exploration, drilling activities, and general corporate purposes.",long-term,利好,"Given the company's strong institutional backing and plans for increased exploration activities in a promising mining district, consider entering a position in Mithril Silver and Gold Limited for long-term growth potential."
Pause in trading 1 page 116.4KB.pdf,PHARMX TECHNOLOGIES LIMITED,Trading in the securities of PHARMX TECHNOLOGIES LIMITED will be temporarily paused pending a further announcement.,短期,中性,建议密切关注后续公告，以评估对公司股票的投资决策。
RLG Business Update 2 pages 179.3KB.pdf,RooLife Group Ltd,"RooLife Group Ltd has entered into a Binding Term Sheet to sell its wholly owned Australian digital marketing subsidiary, CHOOSE Digital Pty Ltd, for $356,500, which includes $200,000 upfront and $156,500 deferred. The sale is part of RLG's strategy to focus on high-margin products and global expansion, particularly in key markets such as China and the UK. Additionally, Mr. Warren Barry has resigned from his role but will continue to manage CHOOSE under the new ownership.",Long-term,利好,"Consider buying into RooLife Group Ltd, as the divestment aligns with its focus on high-margin products and international market expansion, which could lead to improved profitability in the long run."
Business update 2 pages 320.1KB.pdf,Jatcorp Limited,"Jatcorp Limited expects to report a preliminary net loss after tax of $7.6 million to $8 million for FY2025, primarily due to revenue contraction from the cessation of international trading and the suspension of Neurio-branded product sales in China. Other contributing factors include goodwill impairment and inventory write-downs. However, they express cautious optimism for FY2026, anticipating improved performance driven by brand development and distribution expansion.",短期,利空,谨慎观望，考虑在FY2026业绩改善情况明确后再决定是否投资。
Chairman's Address - Scheme Meeting & EGM - 11 July 2025 6 pages 326.1KB.pdf,AVJennings Limited,"AVJennings Limited is holding a Scheme Meeting for shareholders to vote on a proposed acquisition by PM Nominees C Pty Ltd. If approved, shareholders will receive 65.5 cents per share. There is also a potential special dividend of up to 16.7 cents per share contingent on the Scheme's implementation. The Board recommends the Scheme considering the substantial premium to current trading prices and has indicated that all necessary approvals will be sought.",短期,利好,建议投资者支持方案，因其将带来较大溢价，并提供确定的现金回报，符合长远利益。
Distribution Notice 2 pages 210.2KB.pdf,JPMorgan Asset Management (Australia) Limited,"JPMorgan Asset Management (Australia) Limited announced updated estimated cash distributions for two exchange-traded funds (ETFs) for July 2025: 29.5719 cents per unit for the JPMorgan Global Equity Premium Income Complex ETF and 28.4655 cents per unit for the JPMorgan Global Equity Premium Income (Hedged) Complex ETF. The distribution timetable includes key dates for announcement, ex-date, record date, and payment date. The notice emphasizes that distributions are estimated and not guaranteed.",短期,利好,考虑投资相关ETF，以获取短期内的分红收益，但需注意相关风险和市场波动。
Trading Halt 2 pages 301.0KB.pdf,Pharmx Technologies Limited,"Pharmx Technologies Limited has requested a trading halt pending a supplementary announcement regarding a previously made announcement on ""NDSS Agreement Renewal and Supplier Growth Momentum.""",短期,中性,建议耐心等待补充公告以评估可能的影响后再做投资决策。
Pause in Trading 1 page 115.8KB.pdf,LUMOS DIAGNOSTICS HOLDINGS LIMITED,Trading in the securities of Lumos Diagnostics Holdings Limited will be temporarily paused pending further announcement.,短期,中性,建议投资者关注后续公告内容，以便评估潜在的投资机会或风险。
Business restructuring and capital raising update 3 pages 67.2KB.pdf,Top Shelf International Holdings Ltd,"Top Shelf International Holdings Ltd plans to raise up to $10 million through convertible notes, subject to shareholder approval, to support business restructuring, operational expenses, and working capital. The company is also finalizing a strategic partnership with Amber Bev for sales, distribution, and marketing, and aims to reinstate trading on ASX following the completion of its FY2024 audit.",Long-term,利好,"Considering the company's strategic initiatives, including capital raise and partnership for sales and distribution, it may be beneficial for investors to consider accumulating shares in anticipation of improved operational performance and market presence once these measures are implemented."
Profit Guidance 1 page 130.7KB.pdf,Imperial Pacific Limited,"Imperial Pacific's unaudited results for the year ending June 30, 2025, show a strong performance with a net worth increase of 14.4%, supported by gains in investment values. Shareholders’ equity rose to $10,635,000, and a dividend reinvestment plan has been reintroduced.",Long term,利好,"Considering the positive financial results and the reintroduction of the dividend reinvestment plan, it would be advisable to consider buying or holding shares in Imperial Pacific Limited for long-term investment."
Profit Guidance 1 page 220.0KB.pdf,London City Equities Limited,"London City Equities Limited announced guidance for unaudited results for the year ending June 30, 2025, showing an increase in net worth and investment values, with net assets per share rising to 78.6 cents. A notable capital gain of $11.3 million was realized from reducing their shareholding in Fiducian Group Limited. The company also reintroduced a Dividend Reinvestment Plan. However, concerns were expressed regarding the underwhelming performance of Excelsior Capital Limited, in which they hold a 9% stake.",长期,利好,考虑增持股票，特别是对其在Fiducian Group Limited的成功表现以及净资产增长持积极态度，但需关注Excelsior Capital的进展和潜在风险。
Reinstatement to Quotation 1 page 107.9KB.pdf,Pharmx Technologies Limited,Pharmx Technologies Limited's trading suspension will be lifted following the announcement of the renewal of its National Diabetes Services Scheme (NDSS) agreement.,短期,利好,考虑在短期内增持PHX股票，以利用恢复交易带来的积极市场反应。
Suspension from Quotation 1 page 108.2KB.pdf,Pharmx Technologies Limited,"Pharmx Technologies Limited's securities have been suspended from quotation to prevent a disorderly or uninformed market, following a halt in trading pending a supposed market-sensitive announcement that was not deemed sensitive by ASX.",短期,利空,建议投资者谨慎观望，待公司恢复交易并发布进一步信息后再考虑投资。
Trading Halt 2 pages 278.8KB.pdf,Lumos Diagnostics Holdings Limited,"Lumos Diagnostics Holdings Limited has requested a trading halt for its securities, pending an announcement regarding strategic material agreements.",短期,中性,观察即将发布的公告内容，依据公告决定后续的投资策略。
Monthly Cash Flow Report - June 2025 5 pages 843.0KB.pdf,Queste Communications Ltd,"Queste Communications Ltd released its monthly cash flow report indicating negative net cash flow from operating activities, minimal cash receipts, and reliance on liquid assets from share investments to supplement cash reserves. The company recorded significant cash inflows from investing activities primarily related to the consideration received on termination of an iron-ore royalty.",短期,中性,建议保持观望，考虑当前现金流状况，可能不适合立即投资。需要关注未来的运营现金流改善和其它投资机会的开发。
150 Charlotte Street Update 1 page 91.2KB.pdf,Australian Unity Investment Real Estate Limited,"Australian Unity Investment Real Estate Limited (AUIREL), as responsible entity of Australian Unity Office Fund, announced an update regarding the sale of 150 Charlotte Street, Brisbane. The sale, originally set for April 2025 at a net price of $61.5 million, was deferred to August 2025 with an increased sale price of $63.5 million. The purchaser proposed an alternate settlement structure with deferred payments, and AUIREL is awaiting confirmation on the purchaser's ability to settle under the original terms.",短期,中性,建议保持观察，等待进一步的确认和市场信息更新，以评估潜在影响。
Chatree delivers another 20k ounce quarter & FY25 production 1 page 170.7KB.pdf,Kingsgate Consolidated Limited,"Chatree Gold Mine produced 20,278 ounces of gold in the June quarter, contributing to a total of 74,661 ounces for FY25, consistent with revised production guidance. Additionally, 166,807 ounces of silver were produced, totaling 625,698 ounces for FY25. The company's cash-on-hand and bullion increased to A$69M, up over 15% from the March 2025 quarter.",短期,利好,建议投资者保持看涨态度，考虑增加持仓，利用生产强劲增长和现金流状况改善的机会。
Completion of Equity Raise 2 pages 150.4KB.pdf,Polymetals Resources Ltd,"Polymetals Resources Ltd has completed a $15 million equity raise at $0.80 per share, with proceeds intended to replace a US$10 million undrawn debt facility and ensure adequate working capital during the Endeavor Mine production ramp-up.",短期,利好,考虑到成功的股权融资和用于支持运营的资金，建议投资者考虑增持或保持股份。
Exploration drilling results continue to expand targets 11 pages 1.9MB.pdf,Red Hill Minerals Limited (ASX: RHI),"Red Hill Minerals Limited announced promising RC drilling results from its West Pilbara Gold and Base Metal Project. The drilling program consisted of 14 RC drillholes and 2 diamond drillholes, reporting significant gold and base metal intercepts from multiple targets, particularly Barkley Gold, Jubilee South, and S-Bend. The results indicate potential for further mineralization and expansion of gold and base metal resources.",长期,利好,建议投资于Red Hill Minerals Limited，基于其积极的勘探结果和未来增长潜力。
Final Nyrada Phase I Clinical Trial Cohort to Commence 4 pages 305.9KB.pdf,Nyrada Inc.,"Nyrada Inc. has commenced Cohort 6 of its Phase I clinical trial for Xolatryp™, following successful safety evaluations of Cohort 5. The trial aims to assess the safety and pharmacokinetics of Xolatryp, which has demonstrated cardioprotective effects in preclinical studies. The final readouts of the trial are expected in September 2025.",长期,利好,考虑对Nyrada Inc.进行投资，尤其是在临床试验结果即将公布的阶段，潜在的积极结果可能促使股价上涨。
FY25 Guidance Update 2 pages 89.4KB.pdf,Hansen Technologies Limited,"Hansen Technologies Limited updated its FY25 guidance, raising forecasts for Underlying and Cash EBITDA due to improved operating efficiencies and positive contributions from recent acquisitions. The company anticipates a solid operating revenue growth of approximately 11% compared to FY24, although some revenue will shift to FY26. Recent customer wins were also highlighted, indicating strong demand for its products and services.",长期,利好,考虑购买或增持Hansen Technologies的股份，基于其盈利预测的上调和强劲的客户增长前景。
Gold RC Drill Program Commences at Miriam 6 pages 1.1MB.pdf,Future Battery Minerals Ltd (FBM),"Future Battery Minerals Ltd has commenced a Reverse Circulation (RC) drilling program at the Miriam Project, targeting gold mineralisation at the Forrest and Canyon prospects. The program aims to confirm gold lodes' thickness and grade and explore potential extensions. Drilling is scheduled to be completed in July, with first results expected in early September 2025. FBM is well-funded to execute the program and additional exploration activities.",短期,利好,考虑增持或参与投资，特别是在近期结果发布前，可能会对股价产生积极影响。
High Priority Gold Targets to be drilled at Leonora South 5 pages 994.1KB.pdf,Asra Minerals Ltd,"Asra Minerals Ltd announces a 3,000m reverse-circulation drilling program at Leonora South targeting the Challenge and Eclipse prospects, which are located close to existing gold resources. The drilling is planned to confirm grade and continuity of historic mineralization, with expectations of assays as early as September following the drilling commencement in mid-July.",短期,利好,建议投资者关注该公司的后续钻探结果，考虑在结果发布前适度增持股份。
IKE completes A$18 million placement 4 pages 114.1KB.pdf,ikeGPS Group Limited,"ikeGPS Group Limited successfully completed an A$18 million fully underwritten placement of new shares, supported by strong demand from investors. They plan to use the proceeds for product development, sales and marketing, and potential acquisitions, while also offering shareholders a chance to participate in a non-underwritten share purchase plan to raise an additional A$2 million.",长期,利好,考虑增持此股票，因其融资将支持未来增长和产品开发。
Jun25 Appendix 5B 5 pages 246.7KB.pdf,Jupiter Energy Limited,"Jupiter Energy Limited发布了2025年6月30日的季度现金流报告，报告显示当前季度净现金流为813,000澳元，主要来自于运营活动的现金流入。公司现金和现金等价物在季度末为3,226,000澳元。尚无债务偿还及其他资本支出。公司管理层预计将继续使用油销售生成的资金进行债务偿还。",短期,利好,建议投资者可以根据公司稳定的现金流和潜在的债务偿还能力，考虑增持Jupiter Energy Limited的股票。
Jun25 Quarterly Activities Report 6 pages 199.6KB.pdf,Jupiter Energy Limited,"Jupiter Energy Limited reported its quarterly activities for the period ending June 30, 2025, highlighting unaudited oil sales revenue of approximately USD 1.8 million (AUD 2.8 million) from sales of around 47,000 barrels of oil. The company processed all sales through domestic channels, with no export sales during the quarter. It is considering a potential dual listing on the Astana International Exchange and confirmed the ongoing operation of its production wells under full commercial licenses.",短期,中性,建议持有或小幅增持，关注未来的市场发展和潜在的双重上市进展。
La Negra Delivers Growth with Exceptional Drill Results 22 pages 1.4MB.pdf,Unico Silver Limited (USL),"Unico Silver Limited announces exceptional drill results from hole JDD017-25 at the La Negra prospect, part of the Joaquin Project in Argentina. The hole returned 90m at 144gpt silver equivalent, including high-grade intervals. This result significantly expands the mineralized footprint and confirms the potential for further high-confidence resource estimations under the company's PLUS 1501 strategy.",长期,利好,考虑到这一重大发现和潜在的资源增长，建议投资者关注并持有或增持USL股票，以期从未来的资源确认和可能的价格上涨中受益。
Large Copper-Gold Porphyry Exploration Commences at Rogozna 7 pages 1.6MB.pdf,Strickland Metals Limited,"Strickland Metals Limited announced the commencement of large-scale copper-gold porphyry exploration at the Rogozna Project in Serbia, specifically targeting the Jezerska Reka Porphyry system. Follow-up drilling and ground geophysical surveys are designed to identify new potential drilling targets within the Central Porphyry Target area. The company remains well-funded with $34.8 million in cash and liquid assets.",长期,利好,考虑到公司的积极探索进展和稳健的财务状况，建议投资者关注Strickland Metals Limited，并考虑增持其股票。
Managing Director Appointment Positions Indiana for Growth 3 pages 543.0KB.pdf,Indiana Resources Limited,"Indiana Resources Limited announced the appointment of Matthew Bowles as Managing Director and CEO to lead strategic growth, specifically advancing the high-grade Minos Gold Project. John Fitzgerald has been promoted to COO. The company remains well-funded with a cash position of approximately AU$69.35 million, and is focused on expanding exploration activities.",长期,利好,建议关注并考虑投资，因为管理层变动可能带来新的增长机会，且公司有良好的资金状况支持其战略目标。
Metallurgical Development Unlocks Tin System at Doradilla 17 pages 1.5MB.pdf,Sky Metals Limited,"Sky Metals announced significant metallurgical success at its 100%-owned Doradilla Tin Deposit, achieving approximately 78% tin recovery through a new processing method. This breakthrough not only makes the Doradilla project potentially viable but also strengthens the company's growth pipeline alongside its flagship Tallebung Tin Project. An initial Exploration Target of 10-15 million tonnes grading 0.32-0.42% tin has been defined. The company plans further drilling to advance the project.",长期,利好,考虑到Doradilla项目的潜力和对公司增长方向的积极影响，建议考虑投资Sky Metals Limited。
Mt Mulgine to Advance with Gold Tungsten Strategy 6 pages 612.1KB.pdf,Tungsten Mining NL,"Tungsten Mining NL announces a revised development strategy for its Mt Mulgine Project, focusing on an integrated approach that includes near-term gold extraction to support long-term tungsten development. The strategy aims to offset early development costs through gold extraction from previously wasted overburden material, facilitating access to tungsten ore. An integrated scoping study will evaluate the gold-focused start-up operation and its alignment with tungsten production.",长期,利好,考虑投资。Tungsten Mining的整合战略显示出良好的增长潜力，特别是在当前金价上涨的背景下。该公司通过提前现金流和降低开发风险，可能会为投资者提供机会。建议密切关注即将进行的综合可行性研究结果。
ODA Awarded SaaS Contracts with Transport Providers 2 pages 303.4KB.pdf,Orcoda Limited,"Orcoda Limited announced that its subsidiary has secured six new multi-year Software-as-a-Service (SaaS) contracts with community transport providers in Australia, resulting from the successful completion of the ACTA trial. The new contracts are expected to generate approximately $1 million in revenue over three years and contribute to an annual recurring revenue (ARR) of around $5 million, reflecting a 23% year-on-year growth.",长期,利好,考虑增持Orcoda Limited的股份，因其业务增长前景良好，尤其是在政府支持的社区运输领域。
Osteopore gains access to Switzerland 3 pages 416.5KB.pdf,Osteopore Limited,"Osteopore has secured market approval in Switzerland under the EU Medical Device Regulation (MDR), completing its product portfolio and enhancing market entry support in Switzerland and Europe. This approval follows its successful transition to MDR in 2023 and a partnership with Zimmer Biomet to distribute its craniofacial products across multiple regions.",长期,利好,考虑在中期内增加对Osteopore的投资，因其市场拓展和产品组合的增强有望带来收益增长。
Placement and CEO Appointment 4 pages 301.8KB.pdf,DY6 Metals Ltd,"DY6 Metals Ltd has announced a placement to raise A$4.625 million to accelerate exploration at their Central Rutile Project and Douala Basin HMS Project in Cameroon. The company appointed Cliff Fitzhenry as the new CEO, transitioning from Technical Consultant. The funds will be used for exploration activities, setting up an in-country laboratory, and general working capital.",长期,利好,考虑投资，特别是在股价尚未反映出新的CEO和项目潜力时。
Proposed Land Acquisition 2 pages 110.2KB.pdf,Macquarie Technology Group Limited,"Macquarie Technology Group Limited's wholly owned subsidiary has entered a put and call option to acquire land for a new data centre campus in Sydney, intending to develop a facility that will provide more than 150 MW of IT load targeting hyperscale customers. The acquisition aligns with the company's strategy to establish campus-style data centres. This process will take time, requiring planning approvals, and the campus is expected to be developed over several years to meet future customer demand.",长期,利好,建议关注该公司的长期投资价值，考虑在股价调整时增持，特别是在数据中心需求持续增长的背景下。
Q1 26 Cxbladder Demand Resilient Despite Coverage Loss 10 pages 1.2MB.pdf,Pacific Edge Limited,"Pacific Edge reports resilient demand for its Cxbladder tests despite losing Medicare coverage and transitioning customers from Cxbladder Detect to Triage. The company's Triage tests now make up 77% of test volumes in the US, up from 22% previously. The CEO expresses confidence in regaining Medicare coverage based on positive discussions with the contractor Novitas and the inclusion of Triage in clinical guidelines.",长期,利好,考虑增持股份，因为公司正在积极恢复 Medicare 覆盖并扩大其市场份额。同时，随着 Triage Plus 的商业化临近，预计将提升盈利能力。
Revised Non-binding Indicative Proposal 2 pages 106.9KB.pdf,Abacus Storage Property Trust,"Abacus Storage King (ASK) has received a revised non-binding indicative proposal from Ki Corporation Limited and Public Storage to acquire all outstanding stapled securities at A$1.65 per security, representing a 15% increase from the initial proposal. The proposal is contingent on regulatory approvals and has been presented to the independent board committee for consideration.",短期,利好,建议投资者密切关注后续进展，并考虑在明确的交易条款和条件后进入或增加投资。
Stellar Signs MOU Extension on Adjacent Mine Infrastructure 4 pages 380.3KB.pdf,Stellar Resources Limited,"Stellar Resources Limited announced the extension of a Memorandum of Understanding (MOU) for an additional six months regarding the Comstock site, which is adjacent to its Heemskirk Tin Project. The MOU focuses on utilizing existing infrastructure as part of the Prefeasibility Study (PFS) for Heemskirk, aimed at developing an underground tin operation. Stellar is evaluating several options for development, including using existing infrastructure in the region.",长期,利好,考虑到MOU的延长期以及对Heemskirk项目的潜在积极影响，建议投资者关注并考虑增持Stellar Resources的股票。
